"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Barry Humphries",4,7.5,515011224,271.972889
"Lucas Black",13,8.2,819558444,187.322927
"Marianne Faithfull",2,7.2,2550965087,150.437577
"Albert Brooks",14,8.2,622945399,138.133331
"Tim Burton",2,8.2,105981275,127.525581
"Bonnie Piesse",2,6.6,493428261,127.284427
"Corinna Harfouch",2,8.3,205928762,121.463076
"Brad Garrett",13,7.3,173920180,109.528572
"Rutger Hauer",10,7.5,447816256,106.815545
"Dallas Roberts",7,8.3,299365567,104.469351
"Terry Gilliam",3,7.7,4.2e+08,101.74155
"Michael Jackson",3,7.6,464123048,100.21391
"Gary Busey",5,6.7,227234916,95.914473
"Sarah Polley",9,7.9,354640427,95.301296
"Thomas Lennon",21,8.2,31193052,93.067866
"Lucas Till",11,8.1,4800000,88.377076
"Normann Burton",2,6.6,299326618,86.493424
"Bruce Willis",51,7.9,58200000,86.201184
"Alexander Gould",3,7.6,846335536,85.688789
"James Stewart",5,6.6,328583407,85.30318
"Laura Linney",20,7,291551094,83.893257
"Jürgen Prochnow",9,6.6,341983149,82.643036
"Tony Steedman",2,5.9,263106170,81.781591
"Ellen DeGeneres",2,7.9,341296601,80.878605
"James Keach",4,6.9,183437063,80.171283
"Philip Stone",4,8.1,25017374,78.699993
"Ellen Page",10,6,194470394,77.580661
"Brian Haley",5,6.6,423933331,77.300194
"Arthur O'Connell",2,7.9,411840909,76.041867
"Giovanni Ribisi",24,6.6,230569774,74.506246
"Peter Dinklage",12,6.5,36486080,73.987775
"Richard Harris",10,7.8,163921954,73.720244
"George C. Scott",4,7.7,343554033,73.640445
"Billy Zane",13,7.3,83060858,73.307513
"Richard Young",2,7.7,632806292,73.085576
"Sala Baker",6,7.5,116235147,72.19808
"Mark Boone Junior",19,5.9,171353001,71.862892
"Steven Berkoff",7,7.5,-23467223,70.398356
"Johnny Depp",40,7.7,371925971,68.159596
"Franka Potente",7,7.7,164816455,67.66094
"Thomas Wheatley",2,7.6,214320254,67.427755
"Tom Cruise",33,8,13461007,66.925866
"Paul Freeman",7,6.9,322409852,66.803149
"Wayne Newton",3,7.8,341311860,66.390712
"Kent McCord",2,7.5,473722818,65.677399
"Andy García",19,7,357610419,65.197968
"Ali Suliman",3,7.8,4628948,64.782984
"Kieran O'Brien",2,7.2,102711669,63.655973
"Debra Monk",11,7.6,-46840695,61.245957
"David Carradine",8,7.7,-4729478,61.210016
"Kevin Spacey",24,5.4,159047763,60.810723
"Frank McRae",7,5.2,256128639,60.034162
"Alison Eastwood",4,8.2,650000,59.259204
"Riki Lindhome",7,7.7,253542341,59.248437
"Adam Baldwin",7,6.4,247451894,58.849256
"Mark Ruffalo",29,8,26962574,58.845025
"Jeanette Hain",2,6.8,95509150,58.594852
"Ethan Suplee",15,7.4,126713434,57.374341
"Larry Holden",3,6.5,346884651,57.110486
"Tom Wilkinson",30,8.1,219460116,55.458584
"Penélope Cruz",19,5.9,421388105,54.931334
"Rupert Friend",8,5.8,291971116,54.159392
"Casey Affleck",22,6.3,809317558,54.035265
"Matt Clark",6,6.3,194651413,53.978602
"Geoffrey Rush",26,6.7,324968763,53.905592
"Karl Urban",17,7.3,70877916,52.792678
"Haig Sutherland",4,6.6,156926147,51.692953
"Richard Bradford",2,7,-17982197,51.502884
"Pete Postlethwaite",17,8.2,210710455,49.549984
"Robert De Niro",57,7.6,387800000,49.510658
"Michael Shannon",31,8.1,321508,49.333137
"Alex Hyde-White",4,7.5,26039392,49.12486
"Daniel Travis",2,6.9,58650000,48.901542
