"director","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Tim Burton",14,8.2,105981275,127.525581
"Stanley Kubrick",6,8.3,34542841,105.792936
"Zhang Yimou",6,6.9,499390539,104.121555
"Terry Gilliam",7,7.7,4.2e+08,101.74155
"Hayao Miyazaki",4,6,301818803,91.332849
"Robert Zemeckis",13,7.7,150949000,79.754966
"Chris Kentis",2,7.7,300114312,73.944049
"Martin Brest",4,8.2,21836394,63.654244
"Guy Ritchie",7,6.5,247850012,63.079003
"Roger Spottiswoode",4,6.1,13712074,62.898336
"Kevin Spacey",2,5.4,159047763,60.810723
"Danny Boyle",8,7.3,59876233,52.081131
"Ridley Scott",16,7.5,463654000,50.152327
"Christopher Nolan",8,7.5,88229890,44.714264
"Peter Hyams",6,6,178731369,41.426678
"Lilly Wachowski",7,6,155181299,41.176631
"Matthew Vaughn",4,6.7,15419483,39.890798
"David Koepp",5,7,204931766,37.073127
"Blake Edwards",2,5.3,108360480,34.981698
"Bryan Singer",8,6.1,200601895,34.86859
"Luc Besson",5,6.9,28740827,34.628738
"Billy Bob Thornton",2,6.6,230854823,33.648404
"Frank Marshall",4,6.1,402471524,32.079995
"Michael Bay",12,6.4,11122105,30.131498
"Richard Kelly",3,6.1,84394835,29.880122
"Isabel Coixet",2,6.8,301360478,29.843818
"John Milius",3,6.5,127816700,28.973074
"Darren Lynn Bousman",5,6.4,336247917,28.848187
"David Mamet",2,6.7,77489643,27.65527
"Mick Jackson",2,6,71155843,25.413955
"Nicholas Meyer",2,6.4,71835402,25.03414
"Florian Henckel von Donnersmarck",2,6.7,45718097,23.603514
"Barry Sonnenfeld",7,6.1,118022233,22.57178
"Paul Haggis",3,6.2,73078482,22.054546
"Robert Rodriguez",17,6.4,11788161,21.865021
"Brad Silberling",4,6.2,0,21.801188
"Michel Gondry",4,6.1,7312826,21.605533
"Michael Apted",6,5.9,-1.6e+07,21.380635
"Barbra Streisand",3,7.2,23956241,20.825781
"John McTiernan",10,6.8,2564088,19.890428
"Tim Robbins",2,7,52378584,19.683187
"Michael Winterbottom",6,5.6,40200000,19.578249
"Frank Capra",5,6,9829545,19.301432
"Elizabeth Banks",2,7,56706993,19.195399
"Alejandro González Iñárritu",6,7.7,4712000,18.426825
"John Carpenter",10,6.6,42776760,17.54768
"Roger Kumble",3,6.7,38493982,17.3393
"Alfred Hitchcock",8,5.5,125362582,16.582709
"Greg Strause",2,6,38323487,16.251204
"Frank Miller",3,6.8,-3877439,16.139771
"Alejandro Amenábar",4,5.1,-1.8e+07,14.15192
"Edgar Wright",5,4.6,62772742,13.786075
"Stephen Norrington",2,4.9,106104344,13.543053
"Richard Lester",5,6.4,2.5e+07,12.46525
"Steve Hickner",2,5.2,-12520282,12.445176
"Andrzej Bartkowiak",5,6,0,12.18838
"Stephen Daldry",5,7.1,-2500000,10.363642
"Gavin Hood",4,6.1,-8e+06,9.728143
"Tommy Lee Jones",2,5.4,-6380391,9.448517
"Brian Helgeland",5,5.2,-16625257,9.349386
"Richard LaGravenese",6,6.6,14159144,9.176339
"Mark Pellington",3,6.3,-2.5e+07,8.618208
"Charles Stone III",2,7.4,0,7.676677
"Brett Ratner",10,6.5,-12256692,7.226115
"Michael Lembeck",2,4.3,0,7.157635
"Ben Sharpsteen",2,7.2,28850000,6.915201
"Peter Hewitt",4,4.3,-3.5e+07,6.908351
"Kathryn Bigelow",3,6.3,-4e+07,6.884467
"Kelly Asbury",2,6.6,-2e+06,6.249262
"John Frankenheimer",5,6.9,0,5.87193
"Simon Wincer",4,7.1,8382659,4.602185
"John Glen",5,5.7,-9e+06,3.810697
"Mike Judge",4,5.7,0,3.199784
"Keenen Ivory Wayans",4,5.4,0,1.496454
"Bille Woodruff",4,6.2,0,0.774442
