"genero","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Animation",219,6.93673475688191,170628905.182648,41.3670827534247
"Adventure",768,6.72760439848263,146510363.963542,40.3596831536458
"Science Fiction",514,6.72585194675423,104701052.297665,37.9190527568093
"Fantasy",416,6.63566696061926,132402363.790865,37.0701520072115
"Action",1107,6.64374849772111,93585559.9963866,32.2256862195122
"Family",471,6.78119057551111,121796932.70276,30.2287365307856
"Mystery",329,6.86048285859193,50376260.0030395,25.947976556231
"Thriller",1209,6.68950458939284,51735770.2787428,25.7396466153846
"War",136,7.23672729275884,51984088.4705882,25.1366199632353
"Crime",662,6.90998162937162,40308453.8791541,23.9907258277946
"Western",75,7.13156933574152,20969540.1333333,19.88905132
"Drama",2069,7.0754230669736,35007833.658289,19.6402383069116
"Comedy",1594,6.50403122921897,49722080.1386449,19.6311864435383
"Horror",489,6.29031607629428,30767236.595092,19.3910639631902
"History",185,7.20072305750029,29680734.0594595,18.5331843027027
"Romance",813,6.71160396859224,43663667.1562116,17.4771440516605
"Music",160,6.74484971963291,37718548.94375,15.0151317625
"TV Movie",5,5.55683323299217,-1840000,9.7512126
"Documentary",64,6.96705400765879,11959510.1875,6.481205203125
"Foreign",12,6.58473895582329,222698.916666667,1.10016725
