"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Kinberg Genre",2,7.09960549758208,545523883,326.920999
"Illumination Entertainment",5,6.67146670773654,674783772.6,234.9200424
"Syncopy",8,7.74569264036534,445616260.5,192.4171875
"Lynda Obst Productions",4,7.92498523829608,136801430.5,192.22636225
"Second Mate Productions",2,6.95382721116355,763329906,142.464997
"Marvel Studios",13,7.10330073481156,597569283.076923,134.586360307692
"Skydance Media",2,6.13140829165994,222037676.5,133.697774
"Fuji Television Network",6,6.41682251954155,638441957.166667,124.341864833333
"The Saul Zaentz Company",2,8,812827882,122.482275
"Marvel Entertainment",8,6.76662599741343,344423268.25,120.9604945
"Babieka",2,5.95821271239773,73593075,115.955391
"China Movie Channel",2,6.46326950466846,706867618,115.6812665
"Imprint Entertainment",3,5.7412870571222,548645144.666667,109.656856
"Moving Picture Company (MPC)",12,6.5763499790451,220965727.25,101.973981416667
"Esperanto Filmoj",2,7.40376478616924,337825465.5,100.481513
"M Productions",2,7.3414875125789,241582798.5,95.223518
"Genre Films",6,6.6795417515275,227469226.333333,93.6588215
"Chernin Entertainment",7,6.70983024520138,210998399.571429,92.5105265714286
"TSG Entertainment",27,6.89461298678491,225369677.962963,92.0941832592593
"Alpha Core",2,6.49420089217044,113270124,92.0189945
"Simon Kinberg Productions",2,6.49420089217044,113270124,92.0189945
"RatPac Entertainment",2,7.06762481089259,231810430,91.4105815
"Walt Disney Studios Motion Pictures",5,6.9318053596615,476878043.6,90.5076088
"Legendary Pictures",34,7.12105214644243,226802856.676471,90.2552234411765
"Revolution Sun Studios",16,6.88241253699628,378552106.0625,89.793976375
"Kennedy Miller Productions",7,6.86693030487393,123226606.571429,89.1592947142857
"Flynn Picture Company",2,5.85542168674699,251945416,88.6273055
"Sikelia Productions",2,7.85091035872007,253402444.5,88.461315
"Gotham Group",3,6.66182244985062,203887980.666667,88.2902346666667
"WingNut Films",11,7.53531661958569,511672954.727273,85.9174947272727
"Temple Hill Entertainment",10,6.33725781334878,342134651.8,85.9064071
"Media Rights Capital (MRC)",2,6.89191143244465,732635974,85.528365
"Heyday films",3,7.39630507219548,530828004.666667,85.3088963333333
"Mad Hatter Entertainment",2,7.54235647074867,397000903.5,83.7385895
"Lightstorm Entertainment",5,7.3505201994425,979976356.8,83.1792138
"TC Productions",3,6.74783205807338,413461371.333333,83.0551353333333
"Pixar Animation Studios",16,7.3878463536327,469299549.25,82.277073125
"Allison Shearmur Productions",2,6.89152579582876,256110831.5,82.0604755
"Right of Way Films",3,7.88207711010768,50245937.3333333,81.3055283333333
"Le Grisbi Productions",4,7.25309832002203,78999314,81.23835125
"DC Entertainment",12,6.93218545830341,286675374.25,79.28269225
"Dentsu",12,6.40909589241339,356260118.416667,79.0660281666667
"Universal Studios",7,6.65867337072133,254969197.571429,77.8218951428571
"Walt Disney Animation Studios",8,7.27810305477528,305602599.25,76.96434625
"Captivate Entertainment",2,5.95310496794872,221028926,76.489048
"Dayday Films",2,6.93180230527419,187510179.5,76.455532
"Heyday Films",10,7.31098550136875,454942814.5,75.3502508
"China Film Co.",3,6.85886282660333,570532932.666667,74.2328846666667
"Crave Films",3,7.17279139481573,55817602.6666667,72.332116
"Radical Studios",2,6.19259259259259,154784286,72.2701255
"Beagle Pug Films",2,6.09300582847627,312628707,71.9643855
"Maverick Films",5,5.70822828329131,335910048.6,70.3511164
"A Band Apart",6,7.85565512978986,122550814.833333,68.582418
"Sierra / Affinity",2,7.24374228585534,98608.5,68.564919
"Pacific Standard",3,7.56844504021448,120837368.333333,68.0855006666667
"Black Bear Pictures",3,7.67034492629168,60121864,67.7984206666667
"International Traders",3,7.45730058305421,171312998.666667,67.7299696666667
"DC Comics",15,7.00194943357166,188812569.266667,67.4103911333333
"Studio Ghibli",4,8.16977116704805,187328169.25,67.209511
"Color Force",8,6.89845135184845,328386811.5,67.174350625
"Red Wagon Entertainment",7,7.02006703172205,149114829.714286,67.0826537142857
"Down Productions",3,7.15096947399821,198754653,66.9408646666667
"RatPac-Dune Entertainment",12,6.60157507117217,202282045.083333,65.2477230833333
"Super Cool ManChu",2,7.65562549173879,136554230.5,65.1887865
"LStar Capital",12,6.49065327932431,78293301.6666667,64.5581053333333
"Hemisphere Media Capital",4,6.46643154857326,303816506.25,64.0704895
"Latina Pictures",3,6.79000756184509,224562074,63.721511
"Jinks/Cohen Company",2,7.78728094968909,197107828,63.5390435
"Alibaba Pictures Group",3,6.8544214249621,249115886,63.1480113333333
"NeoReel",3,6.00402397260274,161536429.666667,62.93468
"Jerry Bruckheimer Films",21,6.66308668470654,217591798.52381,62.7283647142857
"Wigram Productions",3,7.01900646135772,225596262.666667,62.6928723333333
"Mid Atlantic Films",6,6.54769108806236,165750391.333333,62.677912
"QED International",6,6.81562046027984,94952066.8333333,62.5919863333333
"Parkes+MacDonald Image Nation",4,6.37651892142113,228165220,62.30933725
"TF1",2,6.85604569977785,188508413.5,61.589036
"One Race Films",3,6.77952421410365,461319667.666667,60.923226
"Ingenious Media",14,6.77916224670203,177553477.642857,60.5606955714286
"Cruel and Unusual Films",7,6.61434743293479,174359606.285714,60.269115
"Newman/Tooley Films",2,6.72012383900929,120672522.5,60.1018685
"Evergreen Media Group",3,6.86474534919183,277981320.666667,59.6651003333333
"Skydance Productions",10,6.66486669424285,225598039.8,58.8886953
"EMJAG Productions",2,7.71583947816222,123245261.5,58.7559345
"Atomic Monster",2,6.74324236517219,159688520,58.4825905
"Green Hat Films",4,6.70468809360991,208376857.25,58.296856
"Laura Ziskin Productions",5,6.43463399308828,357341788.4,58.1421068
"Bad Robot",10,6.94955812116882,223513547.9,58.0942663
"Roth Films",9,6.27939517466938,240792658.666667,57.7637402222222
"Red Granite Pictures",4,7.29399266609146,152005960.25,57.65569025
"Sony Pictures Entertainment (SPE)",8,6.15540835638375,101527150.375,57.566903
"Kurtzman/Orci",2,7.19704275152684,277370138.5,57.264993
"AR Films",2,5.97083985393845,-11292111.5,57.2506795
"Huayi Brothers Media",4,6.90576271186441,56190205.5,57.20212775
"5150 Action",4,6.2569033530572,87530837.5,57.167889
"CatchPlay",2,7.28075060532688,195666724.5,57.135855
"Fuzzy Door Productions",3,6.18638154844692,216130301,56.8066993333333
"Annapurna Pictures",9,6.61145622327256,95137694.2222222,56.6730783333333
"Brandywine Productions",7,6.80443441466855,119524696,56.6257372857143
"Blue Sky Studios",9,6.52998941681056,419701161.222222,56.5047456666667
"Skylark Productions",2,6.5,424716949,56.3804165
"Gordon Company",3,7.01819777647747,124005756.666667,56.1694633333333
"Grive Productions",5,6.57441108545035,166507149.2,56.1559172
"Anarchos Productions",5,6.64985337243402,21877947.2,56.003698
"Free State Pictures",3,6.44371531966224,73149018.6666667,55.868833
"Nimar Studios",4,6.76557641259006,219160456.75,55.60012975
"Kontsept Film Company",4,6.42385105084155,274128417,55.40432725
"Groucho II Film Partnership",2,7.89600134408602,193258691.5,55.34013
"Perfect World Pictures",2,5.80408710217755,61680342,55.3235775
"Sketch Films",2,6.14340425531915,73233086,55.1643375
"Bold Films",9,7.37200510341123,21583564.7777778,55.055866
"Translux",2,7.08261964735516,66554891.5,54.919835
"Monarchy Enterprises S.a.r.l.",2,7.26957055214724,187411587,54.808364
"Peregrine",2,8.05260441107461,17008687,54.121662
"K/O Paper Products",4,6.92043510753135,100300997.75,53.8741775
"Hypnotic",3,6.95869379797734,168255209,53.6362493333333
"Imaginary Forces",3,6.18836712913554,83699642.6666667,53.548378
"Platinum Dunes",13,6.05264333581534,241333461.538462,53.476866
"TIK Films",3,6.16743308167467,104173037,53.468325
"Point Grey Pictures",5,6.00006319971109,101610498.4,53.055647
"Walt Disney Feature Animation",9,7.30322812520421,201172620.555556,53.0555832222222
"Appian Way",9,7.36895882049859,129059097.888889,52.7268495555556
"Tequila Gang",2,7.37817859254879,38125697,52.6858025
"Volcano Films",2,5.61910569105691,64015914,52.449744
"Hasbro",3,5.48503027742571,154456926.666667,52.3688046666667
"Animal Kingdom",2,6.60875675675676,6337038,52.1723585
"Brownstone Productions",2,7.06833054693098,178428310,52.12169
"Energy Entertainment",2,6.37708779443255,7480822,51.938414
"1492 Pictures",17,6.88056258164939,212940485.411765,51.6661778235294
"Peninsula Films",3,6.67743935801569,176880458,51.451719
"Twentieth Century Fox Animation",11,6.50391233101188,361413826.454545,51.0092305454545
"Film 44",2,6.29653846153846,101660543,51.006383
"Hollywood Gang Productions",3,6.7005339932274,188063490,50.716343
"Sunswept Entertainment",12,6.33717092113529,250813655.833333,50.6268855
"Lucasfilm",15,7.33324573536192,387353980,50.5921842666667
"Zanuck Company, The",4,6.05487517663683,298359833.25,50.1535215
"Hawk Films",3,8.03930575035063,13885882,50.0800356666667
"Hasbro Studios",5,6.07238749570594,630949874.4,49.8165438
"BillBlock Media",2,5.98261851015801,123254551,49.6590385
"Stanley Kubrick Productions",3,7.39104092813406,97072586.6666667,49.36887
"Ludlum Entertainment",2,7.25055137405916,293162177.5,49.297716
"DreamWorks Animation",31,6.6994071791153,293064898.741935,49.2671718064516
"Albert S. Ruddy Productions",2,7.29218436873747,84636082,49.1800055
"Eidos Interactive",2,5.6214404432133,110604364,49.1548435
"Media Rights Capital",12,6.28469164413545,106444918.083333,49.0542239166667
"The Coppola Company",3,8.11378284581061,58861947,48.6431143333333
